date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:39:10	6416/6416	---M--	200	added ('OK')	image/png	etag:%22e62e9f87920e2e426e51122d0758a23b%22	https://s3.amazonaws.com/refer.me/site/logos/logo.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/logos/logo.png	(from https://www.refer.me/)
23:39:12	97280/97280	---M--	200	added ('OK')	image/png	etag:%229c524892af4ee5351249f6e85f8227cd%22	https://s3.amazonaws.com/refer.me/site/home/background-main.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/home/background-main.png	(from https://www.refer.me/)
23:39:13	91202/91202	---M--	200	added ('OK')	image/png	etag:%227efb7cbc3fd620faf900d83af59bcf70%22	https://s3.amazonaws.com/refer.me/site/home/background-mobile.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/home/background-mobile.png	(from https://www.refer.me/)
23:39:15	47664/47664	---MCZ	200	added ('OK')	text/html	etag:W/%224dc8f9c3d5988597941e55a6eb3dc9ab%22	https://www.refer.me/faq	D:/Research/Hands-on/referral/www.refer.me/faq	(from https://www.refer.me/)
23:39:15	56435/56435	---MCZ	200	added ('OK')	text/html	etag:W/%228461e01b9b6abb081b587772f690efff%22	https://www.refer.me/signup	D:/Research/Hands-on/referral/www.refer.me/signup	(from https://www.refer.me/)
23:39:16	8219/8219	---M--	200	added ('OK')	image/png	etag:%2274caae877b37a4c00dc8ca40642e197b%22	https://s3.amazonaws.com/refer.me/site/logos/microsoft-gray.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/logos/microsoft-gray.png	(from https://www.refer.me/)
23:39:17	9378/9378	---M--	200	added ('OK')	image/png	etag:%22f76aa51a4ca37138265ff1868b7be7c5%22	https://s3.amazonaws.com/refer.me/site/logos/deloitte-gray.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/logos/deloitte-gray.png	(from https://www.refer.me/)
23:39:19	8408/8408	---M--	200	added ('OK')	image/png	etag:%2247f5a0d0b717d9f2adc1f50a26e01d37%22	https://s3.amazonaws.com/refer.me/site/logos/google-gray.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/logos/google-gray.png	(from https://www.refer.me/)
23:39:20	5612/5612	---M--	200	added ('OK')	image/png	etag:%223a5e02b01904e4c8cc75b13480390237%22	https://s3.amazonaws.com/refer.me/site/logos/tiktok-gray.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/logos/tiktok-gray.png	(from https://www.refer.me/)
23:39:21	5550/5550	---M--	200	added ('OK')	image/png	etag:%22e8180518bb129e24cf0459e1c7ce30f5%22	https://s3.amazonaws.com/refer.me/site/logos/meta-gray.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/logos/meta-gray.png	(from https://www.refer.me/)
23:39:22	6743/6743	---M--	200	added ('OK')	image/png	etag:%22471c38dea9ef1d85efdf8461dd8b8ead%22	https://s3.amazonaws.com/refer.me/site/logos/stripe-gray.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/logos/stripe-gray.png	(from https://www.refer.me/)
23:39:23	5859/5859	---M--	200	added ('OK')	image/png	etag:%2289f154e919ca0f680f5b86060d6b3a4d%22	https://s3.amazonaws.com/refer.me/site/logos/doordash-gray.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/logos/doordash-gray.png	(from https://www.refer.me/)
23:39:24	7436/7436	---M--	200	added ('OK')	image/png	etag:%22be16c2adbee8ed5961f77b24eab1339c%22	https://s3.amazonaws.com/refer.me/site/logos/amazon-gray.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/logos/amazon-gray.png	(from https://www.refer.me/)
23:39:25	95327/95327	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2018:09:25%20GMT	https://www.refer.me/referrals	D:/Research/Hands-on/referral/www.refer.me/referrals.html	(from https://www.refer.me/)
23:39:27	72561/72561	---M--	200	added ('OK')	image/png	etag:%224d602b4c4c8526636768a96d68d2bcf3%22	https://s3.amazonaws.com/refer.me/site/home/referral-icon.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/home/referral-icon.png	(from https://www.refer.me/)
23:39:27	73872/73872	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2018:09:27%20GMT	https://www.refer.me/jobs	D:/Research/Hands-on/referral/www.refer.me/jobs.html	(from https://www.refer.me/)
23:39:28	73187/73187	---M--	200	added ('OK')	image/png	etag:%2278cc30a7b6fafa64e1bc43177c19558f%22	https://s3.amazonaws.com/refer.me/site/home/job-board-icon.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/home/job-board-icon.png	(from https://www.refer.me/)
23:39:29	67712/67712	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2018:09:28%20GMT	https://www.refer.me/resources	D:/Research/Hands-on/referral/www.refer.me/resources.html	(from https://www.refer.me/)
23:39:31	107517/107517	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2018:09:30%20GMT	https://www.refer.me/career-coaching/book	D:/Research/Hands-on/referral/www.refer.me/career-coaching/book.html	(from https://www.refer.me/)
23:39:31	187024/187024	---M--	200	added ('OK')	image/png	etag:%22799116fde1b9b43d5527fd84e8454df3%22	https://s3.amazonaws.com/refer.me/site/home/resources-icon.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/home/resources-icon.png	(from https://www.refer.me/)
23:39:33	76382/76382	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2018:09:31%20GMT	https://www.refer.me/resume-review/book	D:/Research/Hands-on/referral/www.refer.me/resume-review/book.html	(from https://www.refer.me/)
23:39:33	121078/121078	---M--	200	added ('OK')	image/png	etag:%2243eccb0ce74d911b726f0921667db9b4%22	https://s3.amazonaws.com/refer.me/site/home/mentorship-icon.png	D:/Research/Hands-on/referral/s3.amazonaws.com/refer.me/site/home/mentorship-icon.png	(from https://www.refer.me/)
23:39:34	75994/75994	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2018:09:34%20GMT	https://www.refer.me/blog	D:/Research/Hands-on/referral/www.refer.me/blog.html	(from https://www.refer.me/)
23:39:34	100277/100277	---MCZ	200	added ('OK')	text/html	etag:W/%229e359c6795bcb6df69ce98e2b45746be%22	https://www.refer.me/employers/ai-recruiting	D:/Research/Hands-on/referral/www.refer.me/employers/ai-recruiting	(from https://www.refer.me/)
23:39:35	64020/64020	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2018:09:35%20GMT	https://www.refer.me/discord	D:/Research/Hands-on/referral/www.refer.me/discord.html	(from https://www.refer.me/)
23:39:35	207017/207017	---MCZ	200	added ('OK')	text/html	etag:W/%22b33dbaa7f1c4b2c2e1628af58baa5939%22	https://www.refer.me/privacy-policy	D:/Research/Hands-on/referral/www.refer.me/privacy-policy	(from https://www.refer.me/)
23:39:35	189134/189134	---MCZ	200	added ('OK')	text/html	etag:W/%229ae61dedab2b248b6fb7e03d122ce170%22	https://www.refer.me/terms-and-conditions	D:/Research/Hands-on/referral/www.refer.me/terms-and-conditions	(from https://www.refer.me/)
23:39:37	70025/70025	---MCZ	200	added ('OK')	text/html	etag:W/%2289b04c8b8793e1124aeb00e74a4d9e03%22	https://www.refer.me/cookie-policy	D:/Research/Hands-on/referral/www.refer.me/cookie-policy	(from https://www.refer.me/)
23:39:37	6572/6572	---MCZ	200	added ('OK')	application/javascript	etag:W/%226616e82ee105f033ec0942ce94ed9108%22	https://www.refer.me/_next/static/chunks/pages/faq-064bb8191132708f.js	D:/Research/Hands-on/referral/www.refer.me/_next/static/chunks/pages/faq-064bb8191132708f.js	(from https://www.refer.me/faq)
23:39:37	2042/2042	---MCZ	200	added ('OK')	application/javascript	etag:W/%2284919f956fde3e9ea8d3557dba5085ac%22	https://www.refer.me/_next/static/chunks/d7eeaac4-9b299ead4ee67f84.js	D:/Research/Hands-on/referral/www.refer.me/_next/static/chunks/d7eeaac4-9b299ead4ee67f84.js	(from https://www.refer.me/signup)
23:39:37	3490/3490	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ab01f9eef2d5e9502fedade597331f86%22	https://www.refer.me/_next/static/chunks/9653-1816ddd09b07ba1c.js	D:/Research/Hands-on/referral/www.refer.me/_next/static/chunks/9653-1816ddd09b07ba1c.js	(from https://www.refer.me/signup)
23:39:38	12581/12581	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e1623d6c361665e9d93ec71a038fc26c%22	https://www.refer.me/_next/static/chunks/2675-ce83988b08224487.js	D:/Research/Hands-on/referral/www.refer.me/_next/static/chunks/2675-ce83988b08224487.js	(from https://www.refer.me/signup)
23:39:38	4681/4681	---MCZ	200	added ('OK')	application/javascript	etag:W/%22859163505505294cd814a8fb7b91b34f%22	https://www.refer.me/_next/static/chunks/pages/signup-39a56ff468e33107.js	D:/Research/Hands-on/referral/www.refer.me/_next/static/chunks/pages/signup-39a56ff468e33107.js	(from https://www.refer.me/signup)
23:39:38	1443/1443	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d73788d60142fd75d82623bb804917cb%22	https://www.refer.me/_next/static/chunks/d64684d8-1cc09d38c48c3bf9.js	D:/Research/Hands-on/referral/www.refer.me/_next/static/chunks/d64684d8-1cc09d38c48c3bf9.js	(from https://www.refer.me/referrals)
23:39:38	3489/3489	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259d8bead7176a75e5446c42e8d0eed11%22	https://www.refer.me/_next/static/chunks/1a48c3c1-2e37e2d2b06901d8.js	D:/Research/Hands-on/referral/www.refer.me/_next/static/chunks/1a48c3c1-2e37e2d2b06901d8.js	(from https://www.refer.me/referrals)
23:39:39	6445/6445	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a097d95f16e3342601841b18777eace0%22	https://www.refer.me/_next/static/chunks/ae51ba48-01454ff98276698f.js	D:/Research/Hands-on/referral/www.refer.me/_next/static/chunks/ae51ba48-01454ff98276698f.js	(from https://www.refer.me/referrals)
